name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	5400	5400	0	0	0	-1	140	140	-1	10	10	-1	25	25	-1	30	30	-1	130	130	-1	t < 800 ms	5400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	247	247	-1
Home (anon)	200	200	0	60	60	-1	120	120	-1	62	62	-1	10	10	-1	70	70	-1	70	70	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Home (anon) / Home	200	200	0	0	0	-1	20	20	-1	9	9	-1	4	4	-1	10	10	-1	20	20	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Home (anon) / JS: vendor/jquery.js	200	200	0	0	0	-1	10	10	-1	1	1	-1	2	2	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Home (anon) / JS: liftAjax	200	200	0	0	0	-1	10	10	-1	3	3	-1	5	5	-1	10	10	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Home (anon) / JS: application.js	200	200	0	0	0	-1	10	10	-1	0	0	-1	1	1	-1	0	0	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Home (anon) / JS: vendor/bootstrap.js	200	200	0	0	0	-1	10	10	-1	0	0	-1	2	2	-1	0	0	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Login	200	200	0	390	390	-1	450	450	-1	400	400	-1	15	15	-1	410	410	-1	440	440	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Login / Login GET	200	200	0	0	0	-1	20	20	-1	0	0	-1	2	2	-1	0	0	-1	10	10	-1	t < 800 ms	200	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	9	9	-1
Login / JS: liftAjax	400	400	0	0	0	-1	10	10	-1	2	2	-1	4	4	-1	10	10	-1	10	10	-1	t < 800 ms	400	100	800 ms < t < 1200 ms	0	0	t > 1200 ms	0	0	failed	0	0	18	18	-1
